Patrik Order Form;;;;;;;;;
Date: ;;;;;;;;;
Est. delivery Date: ;;;Primary;;Total;;;;End
Part;Part Desc;Price List Price;Order QTY;Parts Per Container;;;;;
20041840;4184 HEART EYES MUG;3,24 US$;;8;;;;;
20041850;4185 - TIN CAN MUG;10,06 US$;;6;;;;;
20041860;4186 PAIL W/HANDLE;25,88 US$;;4;;;;;
20041870;4187 - SUGAR SKULL MUG;11,67 US$;;6;;;;;
20041880;4188 - PUMPKIN MUG;11,08 US$;;6;;;;;
20041890;4189 - PINEAPPLE CANNISTER;14,35 US$;;4;;;;;
20041900;4190 - PRISMWARE MUG;11,89 US$;;6;;;;;
20041950;4195 PITCHER - 1.5 LITER;10,09 US$;;2;;;;;
20041960;4196 - PITCHER - .5 LITER;12,99 US$;;4;;;;;
20041980;4198 - MERMAID TAIL MUG;12,39 US$;;6;;;;;
20042010;4201 - DRAGON MUG;18,49 US$;;6;;;;;
20042070;4207 - CAMPFIRE MUG;18,41 US$;;8;;;;;
20042080;4208 - UNICORN MUG;14,94 US$;;6;;;;;
20042090;4209 - PINEAPPLE MUG;12,01 US$;;6;;;;;
20042100;4210 - PINEAPPLE SALT AND PEPPER;14,84 US$;;8;;;;;
20042110;4211 - NARWHAL MUG;11,81 US$;;6;;;;;
20042120;4212 - HONEYCOMB MUG;12,26 US$;;6;;;;;
20042130;4213 - VINTAGE SNOWMAN MUG 14OZ;14,05 US$;;6;;;;;
20042140;4214 - VINTAGE SANTA MUG 16OZ;13,88 US$;;6;;;;;
20042150;4215 - LLAMA MUG;14,29 US$;;6;;;;;
20042160;4216 - SIMPLY COTTAGE MUG;20,75 US$;;8;;;;;
20042170;4217 - TALL CAMPFIRE MUG;20,75 US$;;8;;;;;
20042180;4218 - FLAMINGO MUG;16,18 US$;;6;;;;;
20042190;4219 - PRISMWARE TUMBLER W/LID;18,08 US$;;8;;;;;
20042200;4220 - SHIELD STEIN 24 OZ;17,31 US$;;6;;;;;
20042210;4221 - MASON JAR SALT AND PEPPER;14,03 US$;;8;;;;;
20042220;4222 - MASON JAR PITCHER;13,67 US$;;4;;;;;
20042230;4223 - CANNISTER W/BAMBOO LID;23,71 US$;;6;;;;;
20042240;4224 - MAN CAVE MUG-D;15,57 US$;;6;;;;;
20042250;4225 - PAINT BRUSH MUG;11,06 US$;;6;;;;;
20042260;4226 - GNOME MUG;13,80 US$;;6;;;;;
20042270;4227 - SIMPLY COTTAGE MESSAGE MUG;8,91 US$;;6;;;;;
20042280;4228 - DRAGON GOBLET;18,39 US$;;6;;;;;
20042290;4229 - WITCHES BREW MUG;16,09 US$;;6;;;;;
20042300;4230 - PRISMWARE TALL MUG;19,44 US$;;8;;;;;
20042310;4231 - PRISMWARE STEMLESS WINE GLASS;15,73 US$;;8;;;;;
20042320;4232 - COMFY SWEATER MUG;15,93 US$;;6;;;;;
20042330;4233 - FIESTA MARGARITA GLASS;14,17 US$;;6;;;;;
20042340;4234 - SUSIE'S SUNSHINE MUG;17,41 US$;;8;;;;;
20042350;4235 - MUG - O - SAURUS;23,08 US$;;6;;;;;
20042360;4236 - MUG - A - BOO;21,65 US$;;6;;;;;
20042370;4237 - DIMPLED MUG;18,34 US$;;8;;;;;
20042380;4238 - HIGHLAND COW MUG;18,50 US$;;6;;;;;
20042390;4239 - MUSHROOM HOUSE CANISTER;24,88 US$;;4;;;;;
20042400;4240 - MUSHROOM HOUSE MUG;15,27 US$;;6;;;;;
20042410;4241 - Vintage Reindeer Mug;15,03 US$;;6;;;;;
20042420;4242- AXOLOTL MUG;14,88 US$;;6;;;;;
20042430;4243 - Mirrorball Mug;17,58 US$;;8;;;;;
20042440;4244 - Mushroom Teapot;24,00 US$;;4;;;;;
20042450;4245 - Rainbow Mug;13,03 US$;;6;;;;;
20045000;4500 REGULAR MUG - TEN OUNCE;11,53 US$;;12;;;;;
20045010;4501 REGULAR MUG - SIXTEEN OUNCE;14,21 US$;;12;;;;;
20045020;4502 TRAVEL MUG W/LID;21,43 US$;;8;;;;;
20045030;4503 REGULAR MUG - TWELVE OUNCE;16,67 US$;;12;;;;;
20045040;4504 CONE/FLARE MUG;11,72 US$;;8;;;;;
20045050;4505 HOME/OFFICE MUG W/LID;16,88 US$;;8;;;;;
20045070;4507 TRAVEL TUMBLER;18,14 US$;;8;;;;;
20045080;4508 - BISQUE FOR BENEFITS 10 OZ MUG;25,97 US$;;24;;;;;
20045090;4509 - BISQUE FOR BENEFITS 12 OZ MUG;31,26 US$;;24;;;;;
20050080;5008 PLAIN ROUND BOX;9,93 US$;;6;;;;;
20050090;5009 FLOWER BOX;9,93 US$;;6;;;;;
20050150;5015 SPOON REST W/HANDLE;11,13 US$;;8;;;;;
20050160;5016 SPOON REST W/O HANDLE;11,13 US$;;8;;;;;
20050170;5017 BUTTER DISH;25,08 US$;;8;;;;;
20050210;5021 FROG SCRUBBIE HOLDER;14,31 US$;;6;;;;;
20050230;5023 4 X 6 FRAME W/GLASS & EASEL;22,04 US$;;6;;;;;
20050240;5024 5 X 7 FRAME W/GLASS & EASEL;27,36 US$;;6;;;;;
20050250;5025 SQUARE FRAME W/GLASS & EASEL;20,47 US$;;6;;;;;
20050270;5027 4 X 6 MESSAGE FRAME W/GLASS;25,62 US$;;6;;;;;
20050280;5028 SNOWMAN COLLECTIBLE;12,40 US$;;12;;;;;
20050290;5029 SANTA COLLECTIBLE;9,43 US$;;12;;;;;
20050300;5030 SNOWMAN FIGURE;14,97 US$;;6;;;;;
20050310;5031 SANTA FIGURE;13,63 US$;;6;;;;;
20050320;5032 JUMBO ORNAMENT;14,84 US$;;12;;;;;
20050330;5033 RING HOLDER;19,99 US$;;12;;;;;
20050360;5036 OLDE TYME COOKIE JAR;13,26 US$;;2;;;;;
20050370;5037 PEN/PENCIL HOLDER;22,04 US$;;12;;;;;
20050390;5039 DESKTOP ORGANIZER TRAY;19,19 US$;;6;;;;;
20050450;5045 LG. SOAP PUMP DISPENSER;16,35 US$;;6;;;;;
20050460;5046 SM. SOAP PUMP DISPENSER;14,76 US$;;6;;;;;
20050480;5048 TOOTHBRUSH HOLDER;12,57 US$;;6;;;;;
20050510;5051 SQUARE TILE 4 INCH;40,48 US$;;100;;;;;
20050520;5052 SQUARE TILE 6 INCH;26,02 US$;;50;;;;;
20050540;5054 TAPERED VASE;24,98 US$;;4;;;;;
20050550;5055 CLASSIC URN VASE;21,45 US$;;4;;;;;
20050560;5056 RECTANGULAR VASE;20,38 US$;;4;;;;;
20050570;5057 SMALL FLOWER POT w/SAUCER;19,84 US$;;8;;;;;
20050580;5058 MEDIUM FLOWER POT w/SAUCER;20,17 US$;;6;;;;;
20050590;5059 SM. JACK-O-LANTERN;15,54 US$;;6;;;;;
20050600;5060 LG. JACK-O-LANTERN W/LIGHT;43,82 US$;;4;;;;;
20050610;5061 ROUND ORNAMENT;13,42 US$;;24;;;;;
20050620;5062 STOCKING ORNAMENT;13,42 US$;;24;;;;;
20050630;5063 MITTEN ORNAMENT;13,42 US$;;24;;;;;
20050640;"5064 12"" CHRISTMAS TREE W/BASE AND LIGHT KIT";19,74 US$;;1;;;;;
20050660;"5066 SQUARE TILE - 8""";36,37 US$;;24;;;;;
20050690;5069 CAKE PLATE W/STAND;34,86 US$;;6;;;;;
20050730;5073 SQUARE COASTER SET;23,27 US$;;4;;;;;
20050740;5074 ROUND COASTER SET;23,22 US$;;4;;;;;
20050750;5075  SKULL w/Light (US LIGHT KIT INCLUDED);36,25 US$;;4;;;;;
